product_id,product_name,brand,category,subcategory,ASIN,Amazon_URL,affiliate_URL,price_CAD,currency,rating,review_count,product_type,key_features,specifications,pros,cons,ideal_for,use_cases,positioning,keyword_cluster,search_intent,content_angles,faq_topics,source,data_status,verification_status,last_checked,date_added,article_status,article_url,last_content_update,notes,price_history,competitor_products,comparison_group,primary_keyword,secondary_keywords,semantic_keywords,internal_links,schema_type
fousae-walking-pad,FOUSAE Walking Pad,,fitness,tapis-de-marche,,,,,CAD,,,,,,,,,,,tapis-de-marche,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,tapis-de-marche,,,,,
nicepeople-home-gym,NICEPEOPLE Home Gym,,fitness,home-gym,,,,,CAD,,,,,,,,,,,home-gym,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,home-gym,,,,,
hevglrm-walking-pad,HevGlrm Walking Pad,,fitness,tapis-de-marche,,,,,CAD,,,,,,,,,,,tapis-de-marche,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,tapis-de-marche,,,,,
jbl-vibe-beam,JBL Vibe Beam,,audio,ecouteurs-sans-fil,,,,,CAD,,,,,,,,,,,ecouteurs-sans-fil,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,ecouteurs-sans-fil,,,,,
cfx-resistance-bands,CFX Resistance Bands,,fitness,bandes-de-resistance,,,,,CAD,,,,,,,,,,,bandes-de-resistance,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,bandes-de-resistance,,,,,
taevno-vibration-plate,Taevno Vibration Plate,,fitness,plaque-vibrante,,,,,CAD,,,,,,,,,,,plaque-vibrante,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,plaque-vibrante,,,,,
sunny-mini-stepper,Sunny Health & Fitness Mini Stepper,,fitness,mini-stepper,,,,,CAD,,,,,,,,,,,mini-stepper,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,mini-stepper,,,,,
yagud-walking-pad,Yagud Walking Pad,,fitness,tapis-de-marche,,,,,CAD,,,,,,,,,,,tapis-de-marche,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,tapis-de-marche,,,,,
mosuny-exercise-bike,MOSUNY Exercise Bike,,fitness,velo-stationnaire,,,,,CAD,,,,,,,,,,,velo-stationnaire,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,velo-stationnaire,,,,,
coolflask-water-bottle,COOLFLASK Water Bottle,,hydratation,bouteille-isotherme,,,,,CAD,,,,,,,,,,,bouteille-isotherme,,,,,NEW,UNVERIFIED,,2026-09-17,NOT_STARTED,,,,,,bouteille-isotherme,,,,,
